INSEE_COM;PrixMoyen_M2_2223;Prixm2Moyen_2022;Prixm2Moyen_2023;loyer_apparts;loyer_maisons;Rendement_locatif_apparts;Rendement_locatif_maisons
09001;1190.0;1214.5;1092.0;8.09;8.11;8.16;8.18
09002;1850.62;1893.75;1781.6;7.84;6.55;5.08;4.25
09003;1241.36;1156.29;1326.43;8.83;6.55;8.54;6.33
09004;860.0;1093.0;510.5;8.83;7.35;12.32;10.25
09005;1545.08;1385.2;1659.29;7.75;6.81;6.02;5.29
09008;2235.0;1800.5;2483.29;7.75;6.81;4.16;3.66
09009;1323.5;1431.75;1107.0;8.55;6.63;7.75;6.01
09011;1554.0;1150.0;2362.0;8.0;7.25;6.18;5.59
09014;2199.57;1834.33;2473.5;8.0;6.81;4.36;3.71
09015;1593.62;1503.75;1863.25;8.55;7.68;6.44;5.78
09016;1350.86;1479.2;1030.0;8.55;6.54;7.59;5.81
09017;1162.5;1147.67;1207.0;8.0;6.81;8.26;7.03
09018;1410.2;1452.0;1382.33;8.0;6.81;6.81;5.79
09019;1804.9;2404.1;1205.7;8.09;6.63;5.38;4.41
09022;1430.67;1295.0;1498.5;9.63;7.65;8.08;6.42
09023;1814.38;2056.0;1572.75;8.41;6.08;5.56;4.02
09024;1574.14;1554.33;1589.0;8.57;7.35;6.53;5.6
09025;1802.8;1743.67;1891.5;8.0;7.25;5.33;4.82
09026;1634.29;1855.5;1339.33;7.75;6.81;5.69;5.0
09027;1906.83;1252.67;2561.0;8.65;6.81;5.44;4.28
09029;1116.29;1103.19;1142.5;7.75;6.81;8.33;7.32
09030;1032.52;966.87;1196.67;7.75;7.35;9.01;8.54
09032;2532.45;2515.94;2551.06;9.5;7.35;4.5;3.48
09033;1268.67;1330.0;1238.0;8.24;7.04;7.79;6.66
09035;1112.71;1197.67;1049.0;8.0;6.81;8.63;7.34
09038;1451.0;1729.75;1228.0;8.09;7.04;6.69;5.82
09039;1546.17;1922.75;793.0;7.84;6.88;6.09;5.34
09040;1797.75;1937.8;1564.33;8.32;6.88;5.56;4.59
09041;1378.57;1326.0;1431.14;8.24;7.25;7.17;6.31
09042;1390.56;1273.62;1517.25;8.09;6.63;6.98;5.72
09043;1393.16;1488.43;1337.58;7.84;6.55;6.75;5.64
09044;1987.75;2282.33;1104.0;8.09;7.65;4.89;4.62
09045;1656.25;1822.0;1380.0;8.55;6.54;6.19;4.73
09046;1554.0;1125.0;1983.0;8.24;7.25;6.36;5.59
09047;1332.15;1259.16;1411.48;7.84;6.55;7.06;5.9
09049;1429.5;1215.67;2071.0;8.09;8.11;6.79;6.81
09050;1857.83;1321.0;1965.2;9.63;8.11;6.22;5.24
09051;1092.0;1459.0;725.0;8.83;7.72;9.7;8.49
09052;892.0;852.5;971.0;7.84;6.88;10.55;9.25
09054;1542.64;1459.25;1765.0;8.24;7.04;6.41;5.48
09055;1860.33;1966.75;1647.5;7.75;6.81;5.0;4.39
09056;2312.0;2594.4;900.0;9.4;7.65;4.88;3.97
09057;2009.41;1937.13;2086.86;7.75;6.81;4.63;4.07
09058;1970.78;1819.0;2046.67;8.55;6.54;5.2;3.98
09059;1346.64;1501.0;1218.0;7.75;6.81;6.9;6.07
09060;1484.9;1543.29;1436.82;9.4;7.65;7.6;6.19
09061;867.5;798.0;950.9;8.09;6.63;11.19;9.17
09062;1553.42;1525.5;1601.29;7.75;6.81;5.99;5.26
09063;1131.0;1350.0;912.0;7.75;6.63;8.22;7.03
09065;1925.58;1926.92;1924.0;8.09;6.63;5.04;4.13
09066;1627.0;1477.0;1852.0;8.55;6.54;6.3;4.82
09067;1476.43;1360.6;1766.0;9.4;7.59;7.64;6.17
09070;1441.19;1323.0;1512.1;8.57;7.35;7.13;6.12
09071;1542.0;1626.0;1290.0;8.55;8.11;6.65;6.31
09074;1962.9;2529.6;1396.2;7.84;6.55;4.79;4.01
09075;1918.67;2026.5;1864.75;8.09;7.04;5.06;4.4
09076;1292.67;880.25;2117.5;9.4;6.63;8.73;6.15
09077;1271.1;1240.88;1392.0;8.41;7.68;7.94;7.25
09078;1441.0;1549.6;1169.5;8.57;6.08;7.13;5.06
09079;1768.71;1624.4;1899.91;8.09;7.59;5.49;5.15
09080;1868.0;1363.6;2708.67;8.83;6.55;5.67;4.21
09081;1546.0;1740.0;1449.0;8.28;7.65;6.42;5.94
09082;1852.17;1679.25;2040.82;8.09;6.63;5.24;4.29
09083;1152.0;1364.5;727.0;8.28;7.59;8.62;7.91
09084;1813.0;2314.0;811.0;9.4;7.59;6.22;5.02
09085;1275.08;1128.44;1605.0;7.75;6.81;7.29;6.41
09086;1267.67;1511.33;780.33;8.0;6.81;7.57;6.44
09087;1247.25;927.5;1567.0;8.57;7.35;8.24;7.07
09089;1730.33;1840.0;1511.0;7.84;6.88;5.44;4.77
09091;920.5;781.5;1059.5;8.24;6.81;10.74;8.88
09092;2004.5;2395.0;1614.0;8.83;6.54;5.29;3.91
09093;1008.67;1179.5;667.0;8.83;6.54;10.51;7.77
09094;1940.82;1452.4;2347.83;8.09;7.04;5.0;4.35
09095;1711.71;1785.33;1656.5;8.0;6.81;5.61;4.77
09097;959.67;1123.0;878.0;8.0;6.63;10.0;8.29
09099;1963.14;2100.0;1860.5;9.63;8.11;5.89;4.96
09100;997.23;1058.5;874.7;7.75;6.81;9.32;8.19
09101;1479.71;1280.67;1629.0;9.63;8.11;7.81;6.58
09103;2126.75;2086.58;2247.25;9.63;8.11;5.43;4.58
09104;1781.15;1536.67;1990.71;9.63;8.11;6.49;5.46
09105;1431.78;1405.25;1463.22;8.09;7.04;6.78;5.9
09106;1252.0;1708.25;795.75;8.83;6.55;8.46;6.28
09107;1319.05;1137.73;1518.5;7.84;6.55;7.13;5.96
09108;1026.22;1136.14;641.5;8.09;6.63;9.46;7.75
09110;1391.25;944.0;2733.0;8.0;6.81;6.9;5.87
09111;2448.83;3156.33;1741.33;7.75;6.81;3.8;3.34
09113;2143.04;1931.77;2417.7;7.75;6.81;4.34;3.81
09114;2009.86;1822.33;2150.5;7.75;6.81;4.63;4.06
09116;1037.8;1001.5;1183.0;9.4;6.63;10.87;7.66
09118;2271.0;3625.0;917.0;8.09;6.63;4.28;3.5
09119;1598.3;1890.5;1403.5;7.75;6.81;5.82;5.11
09120;2130.3;2244.89;1099.0;8.09;7.04;4.56;3.97
09121;2077.09;2175.08;1970.18;8.55;6.54;4.94;3.78
09122;1615.88;1582.92;1648.85;8.98;7.44;6.67;5.52
09124;1650.35;1722.55;1544.47;8.09;7.59;5.88;5.52
09125;1426.15;1368.79;1562.38;8.83;7.72;7.43;6.5
09127;3108.0;3641.0;2841.5;8.28;6.63;3.2;2.56
09128;2114.75;1682.67;2374.0;8.0;6.81;4.54;3.86
09129;1638.42;1068.0;2045.86;8.65;7.25;6.33;5.31
09130;1391.8;1426.69;1329.78;8.55;6.54;7.37;5.63
09131;1663.5;1310.0;1781.33;8.41;7.35;6.07;5.3
09132;2016.17;2018.25;2012.0;8.28;7.65;4.93;4.56
09134;2315.67;3688.0;1629.5;8.41;7.35;4.36;3.81
09136;1675.0;1353.0;1836.0;8.41;7.68;6.02;5.5
09137;2921.0;2203.0;3639.0;8.83;7.65;3.63;3.14
09138;1945.4;2145.14;1479.33;9.63;7.65;5.94;4.72
09139;1899.0;2370.0;1781.25;8.57;7.35;5.41;4.64
09140;2780.8;2941.67;2539.5;8.41;7.35;3.63;3.17
09141;1623.0;1584.67;1738.0;8.0;7.25;5.91;5.36
09142;1440.5;1189.0;1692.0;8.83;6.54;7.36;5.44
09143;1463.71;1250.5;2743.0;8.55;7.35;7.01;6.02
09145;1819.33;2818.0;1619.6;9.63;7.65;6.35;5.05
09147;1896.43;1470.0;2216.25;9.4;7.96;5.95;5.04
09148;1418.75;500.0;1725.0;8.24;7.25;6.97;6.13
09149;1188.75;979.73;1648.6;7.75;6.81;7.82;6.87
09150;1879.36;1777.0;2002.2;7.84;6.55;5.01;4.18
09151;1612.33;2037.0;1400.0;8.28;7.59;6.16;5.65
09152;1645.4;1974.0;1563.25;8.55;7.68;6.23;5.6
09157;1253.15;1272.21;1235.94;7.65;6.55;7.32;6.27
09158;1872.88;1679.25;2045.0;8.09;7.25;5.18;4.64
09159;1468.25;1571.0;1365.5;8.57;7.35;7.0;6.0
09160;1147.31;1217.79;1068.12;8.26;6.49;8.64;6.78
09161;1408.62;1293.54;1684.8;7.84;6.55;6.68;5.58
09164;1150.53;1252.6;946.4;8.0;6.81;8.34;7.1
09165;1495.67;2014.25;1080.8;7.84;6.55;6.29;5.26
09166;2514.33;1759.0;4025.0;8.55;6.54;4.08;3.12
09167;1949.59;1992.56;1898.67;9.4;7.96;5.79;4.9
09168;1355.8;1380.43;1298.33;8.83;6.55;7.82;5.8
09169;827.33;752.0;978.0;8.83;6.55;12.81;9.5
09170;1392.56;1512.6;1242.5;9.4;7.96;8.1;6.86
09173;1827.0;1847.0;1797.0;9.63;7.65;6.33;5.03
09174;2005.33;1691.67;2162.17;9.63;8.11;5.76;4.85
09175;1745.0;1368.0;1933.5;9.63;6.88;6.62;4.73
09176;1612.59;1537.0;1751.17;8.57;7.35;6.38;5.47
09177;1467.56;1592.5;1367.6;8.28;6.63;6.77;5.42
09178;1319.5;1221.0;1418.0;8.32;6.88;7.57;6.26
09179;1361.67;859.0;1613.0;9.63;7.65;8.49;6.75
09180;1496.71;1605.6;1224.5;8.32;6.88;6.67;5.52
09181;1302.91;1292.73;1325.3;8.09;7.25;7.45;6.67
09182;1575.0;1705.38;1444.62;7.75;6.81;5.9;5.19
09183;1104.75;1344.0;865.5;8.24;7.25;8.95;7.87
09185;1728.41;1680.23;1781.05;8.76;7.62;6.08;5.29
09186;1177.0;632.0;2267.0;9.4;7.59;9.58;7.74
09187;2128.4;1909.5;2274.33;8.24;7.25;4.65;4.08
09188;1411.43;1294.11;1535.65;8.55;7.68;7.27;6.53
09192;1485.38;1201.25;1769.5;8.41;7.68;6.79;6.2
09194;1977.25;1960.52;1992.26;8.76;7.62;5.31;4.63
09197;2683.25;1976.67;4803.0;8.57;7.35;3.83;3.29
09198;1609.11;1588.4;1635.0;8.09;7.25;6.03;5.4
09199;1240.65;1315.6;1015.8;8.32;7.65;8.05;7.4
09200;2598.0;1181.33;3448.0;8.71;6.88;4.02;3.18
09202;1697.83;1890.25;1313.0;8.28;6.63;5.85;4.68
09203;1476.25;1744.0;673.0;8.55;8.11;6.95;6.59
09204;1441.5;1071.0;1812.0;8.09;7.25;6.74;6.03
09205;873.5;644.0;1562.0;8.24;7.04;11.32;9.67
09206;1836.14;1881.21;1773.61;8.83;6.54;5.77;4.27
09207;1831.12;1860.62;1779.5;8.55;6.54;5.6;4.28
09209;1516.5;1439.5;1644.83;8.0;6.81;6.33;5.39
09210;1719.94;1532.25;1907.62;8.55;6.54;5.96;4.56
09211;1287.0;703.0;1403.8;8.83;7.72;8.23;7.2
09212;1529.6;1581.0;1495.33;8.0;6.63;6.28;5.2
09213;1262.2;1249.67;1281.0;7.84;6.55;7.45;6.23
09214;1913.76;1769.3;2098.33;8.0;6.81;5.02;4.27
09217;1265.78;1159.5;1350.8;8.41;7.68;7.97;7.28
09219;1336.08;1199.67;1745.33;8.65;6.81;7.77;6.11
09220;1476.5;1504.0;1449.0;8.57;7.35;6.96;5.97
09222;1806.0;1569.0;2280.0;8.55;7.35;5.68;4.88
09223;1461.7;1615.4;1308.0;7.75;6.81;6.36;5.59
09224;1450.06;1695.83;1316.0;8.28;6.63;6.85;5.48
09225;1601.01;1557.06;1655.33;8.2;8.31;6.14;6.23
09227;1376.0;1566.0;1186.0;8.55;6.54;7.45;5.7
09228;1661.0;1610.17;1762.67;8.57;7.35;6.19;5.31
09229;1408.71;1487.25;937.5;7.84;6.55;6.68;5.58
09230;947.8;1087.0;855.0;8.57;6.08;10.85;7.7
09231;1892.69;1658.32;2425.36;7.75;6.81;4.91;4.32
09232;1088.62;1421.33;889.0;8.57;6.08;9.44;6.7
09235;1549.92;1191.25;1881.0;8.0;7.25;6.19;5.61
09236;1270.83;534.5;1639.0;8.55;6.54;8.07;6.17
09237;1493.67;1089.5;2302.0;8.57;6.08;6.88;4.88
09238;1521.86;1382.6;1870.0;9.63;7.65;7.6;6.04
09239;1893.82;2051.5;1704.6;8.0;6.55;5.07;4.15
09240;1039.67;947.67;1223.67;8.55;7.68;9.87;8.86
09241;1494.61;1287.22;1702.0;8.55;7.68;6.86;6.17
09244;1615.81;1516.79;1772.58;7.84;6.55;5.82;4.87
09245;1923.97;1874.68;2009.09;9.63;8.11;6.01;5.06
09246;1388.74;1275.5;1705.8;8.09;6.81;6.99;5.88
09247;1271.94;1204.62;1339.25;7.75;6.81;7.31;6.42
09251;1804.67;2153.0;1108.0;8.32;6.88;5.54;4.57
09252;1233.13;1154.17;1470.0;8.57;6.55;8.34;6.38
09253;1443.0;2026.25;859.75;8.09;6.63;6.73;5.51
09254;1486.5;1240.67;2224.0;9.63;7.65;7.78;6.18
09257;1696.2;1554.25;1980.1;8.24;7.04;5.83;4.98
09258;1626.62;1480.6;1870.0;9.63;8.11;7.11;5.98
09261;1419.26;1404.7;1434.4;8.17;7.31;6.91;6.18
09262;1276.5;1608.0;945.0;8.83;6.55;8.3;6.16
09264;1811.79;1732.82;1933.82;9.63;8.11;6.38;5.37
09265;1918.42;1958.22;1859.52;8.28;7.65;5.18;4.79
09267;1575.59;1803.6;1249.86;7.75;6.81;5.9;5.19
09268;1459.4;1328.41;1630.69;8.0;6.81;6.58;5.6
09269;1400.14;1343.0;1743.0;8.09;8.11;6.94;6.95
09270;1637.5;1942.25;1332.75;8.28;6.63;6.07;4.86
09272;1830.97;1818.48;1847.38;8.83;7.72;5.79;5.06
09273;1491.0;1396.86;1556.9;9.63;8.11;7.75;6.53
09274;1372.67;1501.0;1308.5;7.84;6.88;6.85;6.01
09275;1965.33;2122.0;1652.0;9.4;7.96;5.74;4.86
09276;1568.0;1737.0;1399.0;8.28;7.65;6.33;5.86
09277;1525.1;1565.0;1503.62;8.28;7.96;6.51;6.26
09280;1545.81;1471.54;1633.59;7.75;6.81;6.02;5.29
09281;1578.8;1416.33;1822.5;8.83;6.54;6.71;4.97
09282;1733.87;1744.77;1717.0;9.7;7.84;6.71;5.42
09283;1829.07;1808.2;1870.8;8.41;7.35;5.52;4.82
09285;1519.52;1657.28;1316.94;7.75;6.81;6.12;5.38
09289;1776.04;1774.0;1777.62;8.0;7.25;5.41;4.9
09290;1665.06;1425.0;1973.71;7.75;6.81;5.58;4.91
09291;1948.07;2050.33;1794.67;7.75;6.81;4.77;4.19
09292;2098.8;1582.67;2873.0;8.55;6.63;4.89;3.79
09293;1624.8;1737.23;1503.0;8.09;6.63;5.98;4.9
09294;1327.75;1395.33;1125.0;9.4;7.96;8.5;7.2
09295;1425.82;1397.0;1714.0;8.41;7.35;7.08;6.18
09296;1490.25;1389.0;1794.0;8.41;7.35;6.77;5.92
09298;1882.0;1895.25;1855.5;8.57;7.35;5.46;4.68
09299;1798.42;1586.91;2089.25;7.75;6.81;5.17;4.54
09300;985.67;645.0;1667.0;8.55;6.54;10.41;7.96
09301;1491.32;1564.23;1386.0;7.75;6.81;6.24;5.48
09303;2147.0;2174.5;2133.25;8.41;7.68;4.7;4.29
09305;1615.0;1536.2;1746.33;7.84;6.54;5.83;4.86
09306;1366.17;1318.32;1418.24;8.2;7.68;7.2;6.75
09307;1308.75;1552.67;577.0;8.0;7.25;7.34;6.64
09308;1843.67;1774.0;1878.5;8.24;7.25;5.36;4.72
09309;963.14;915.2;1083.0;9.63;7.65;12.0;9.54
09311;1160.5;1169.0;1152.0;8.41;6.08;8.69;6.29
09312;2025.05;2040.35;2003.36;9.63;8.36;5.71;4.95
